"","event_name","player_name","salary","ownership","streak_pts","bogey_free_pts","hole_in_one_pts","sub_70_pts","hole_score_pts","finish_pts","total_pts","open_odds","close_odds","odds_delta","odds_delta_per","date","make_cut","top_20","top_10","top_5","top_3","win","dg_id","round_score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","driving_dist","driving_acc","gir","scrambling","prox_rgh","prox_fw"
"11","The American Express","Murray, Grayson",6300,0.0011,3,3,0,0,94.5,7,107.5,NA,NA,NA,NA,"Jan 19, 2020",0.370025,0.07225,0.031075,0.013925,0.0076,0.0023,14655,67.5,1.497,1.7605,1.197,1.0755,4.0325,2.35475,286.5,0.607,0.8055,NA,41.8435,26.7925
"12","The American Express","Fowler, Rickie",11500,0.1836,6,3,0,0,91,7,107,0.0768,0.0768,0,0,"Jan 19, 2020",0.807275,0.449,0.292425,0.1809,0.125325,0.05375,12965,67.5,-0.8165,-0.4135,-0.402,1.335,0.519,2.22625,282.7,0.8215,0.6665,NA,47.4315,30.3765
"13","The American Express","Schenk, Adam",6400,0.0059,0,3,0,5,93,6,107,NA,NA,NA,NA,"Jan 19, 2020",0.54125,0.15,0.071375,0.0336,0.018475,0.0065,19477,67.75,2.2855,0.11,-0.8105,0.3045,-0.3965,2.0345,291,0.607,0.556,NA,37.37,37.689
"14","The American Express","Lebioda, Hank",6200,0.0024,3,3,0,0,94.5,5,105.5,NA,NA,NA,NA,"Jan 19, 2020",0.409225,0.082425,0.03535,0.016325,0.008225,0.00245,21943,68,-0.549,-0.332,0.5265,0.244,0.438,1.7845,278.25,0.607,0.722,NA,49.0585,28.614
"15","The American Express","Noren, Alex",8400,0.1416,0,3,0,5,90,6,104,0.02,0.02,0,0,"Jan 19, 2020",0.65335,0.245025,0.132775,0.07185,0.0452,0.016325,10419,67.75,-0.095,1.016,0.9085,0.56,2.484,2.0345,282.2,0.6425,0.722,NA,25.3155,34.5915
"16","The American Express","Putnam, Andrew",7800,0.1283,3,0,0,5,88.5,7,103.5,0.0151,0.0151,0,0,"Jan 19, 2020",0.604025,0.205125,0.1079,0.05615,0.034725,0.011925,14704,67.5,2.4955,0.0249999999999999,1.3445,-0.662,0.707,2.22625,268.6,0.6425,0.722,NA,26.0385,31.161
"17","The American Express","Finau, Tony",10500,0.1334,3,3,0,0,91,6,103,0.04,0.04,0,0,"Jan 19, 2020",0.714075,0.311875,0.18035,0.100425,0.062875,0.02265,11676,67.75,-0.2725,0.7865,-0.1825,-0.1285,0.475,1.97625,284.6,0.536,0.6945,NA,25.777,30.2945
"18","The American Express","Champ, Cameron",9300,0.0548,6,6,0,0,85.5,4,101.5,0.0271,0.0271,0,0,"Jan 19, 2020",0.5634,0.170925,0.086,0.042275,0.0253,0.0087,23542,68.25,1.1805,-1.77,0.8095,1.1695,0.2085,1.5345,297.1,0.5,0.778,NA,34.971,30.9815
"19","The American Express","Gooch, Talor",7100,0.036,3,0,0,0,92.5,5,100.5,0.0091,0.0091,0,0,"Jan 19, 2020",0.479075,0.114,0.051725,0.02385,0.014,0.004425,18580,68,1.554,0.1005,-0.7905,0.0255,-0.665,1.7845,282.2,0.607,0.6945,NA,22.01,38.3365
"20","The American Express","Na, Kevin",7800,0.051,3,0,0,5,86.5,5,99.5,0.0165,0.0165,0,0,"Jan 19, 2020",0.553025,0.1634,0.07945,0.03935,0.023175,0.007525,7452,68,1.2435,-0.7415,3.003,-0.1155,2.1455,1.7845,278.3,0.607,0.889,NA,32.291,23.504
"21","The American Express","Lee, Kyoung-Hoon",6300,0.0012,6,0,0,5,84.5,4,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13497,68.25,1.5175,-0.961,0.4685,1.505,1.012,1.60475,288.35,0.8215,0.6945,NA,28.0775,35.5125
"22","The American Express","Hagy, Brandon",6200,4e-04,6,3,0,0,89.5,1,99.5,NA,NA,NA,NA,"Jan 19, 2020",0.340125,0.0556,0.02175,0.008775,0.0045,0.001175,18695,69.25,-0.282,1.0205,-3.0265,0.318,-1.6885,0.60475,286.75,0.5715,0.667,NA,35.9345,29.847
"23","The American Express","Hadley, Chesson",6300,0.007,6,0,0,0,89,3,98,NA,NA,NA,NA,"Jan 19, 2020",0.415625,0.085675,0.038,0.017075,0.0093,0.0028,14967,68.5,1.991,-0.1775,1.286,0.1035,1.2115,1.22625,281.9,0.6785,0.8055,NA,26.6325,26.905
"24","The American Express","Ortiz, Carlos",7200,0.1368,3,0,5,0,88,1,97,0.0139,0.0139,0,0,"Jan 19, 2020",0.658275,0.25325,0.13845,0.07205,0.043175,0.015775,14735,69.25,0.831,0.349,-0.124,-1.026,-0.8015,0.60475,284.3,0.571,0.5835,NA,35.0905,31.165
